"Purchase"	"WeekofPurchase"	"StoreID"	"PriceCH"	"PriceMM"	"DiscCH"	"DiscMM"	"SpecialCH"	"SpecialMM"	"LoyalCH"	"SalePriceMM"	"SalePriceCH"	"PriceDiff"	"Store7"	"PctDiscMM"	"PctDiscCH"	"ListPriceDiff"	"STORE"	"logpurch"
"CH"	237	1	0	1.99	0	0	0	0	0.5	1.99	1.75	0.24	"No"	0	0	0.24	1	5.46806014113513
"CH"	239	1	0	1.99	0	0.3	0	1	0.6	1.69	1.75	-0.06	"No"	0.150754	0	0.24	1	5.47646355193151
"CH"	245	1	0	2.09	0.17	0	0	0	0.68	2.09	1.69	0.4	"No"	0	0.091398	0.23	1	5.50125821054473
"MM"	227	1	0	1.69	0	0	0	0	0.4	1.69	1.69	0	"No"	0	0	0	1	5.4249500174814
"CH"	228	7	0	1.69	0	0	0	0	0.956535	1.69	1.69	0	"Yes"	0	0	0	0	5.42934562895444
"CH"	230	7	0	1.99	0	0	0	1	0.965228	1.99	1.69	0.3	"Yes"	0	0	0.3	0	5.4380793089232
"CH"	232	7	0	1.99	0	0.4	1	1	0.972182	1.59	1.69	-0.1	"Yes"	0.201005	0	0.3	0	5.44673737166631
"CH"	234	7	0	1.99	0	0.4	1	0	0.977746	1.59	1.75	-0.16	"Yes"	0.201005	0	0.24	0	5.4553211153577
"CH"	235	7	0	1.99	0	0.4	0	0	0.982197	1.59	1.75	-0.16	"Yes"	0.201005	0	0.24	0	5.45958551414416
"CH"	238	7	0	1.99	0	0.4	0	0	0.985757	1.59	1.75	-0.16	"Yes"	0.201005	0	0.24	0	5.47227067367148
"CH"	240	7	0	2.09	0	0	0	0	0.988606	2.09	1.86	0.23	"Yes"	0	0	0.23	0	5.48063892334199
"CH"	263	7	0	2.13	0.27	0	0	0	0.990885	2.13	1.59	0.54	"Yes"	0	0.145161	0.27	0	5.57215403217776
"CH"	276	7	1	2.13	0	0.54	0	1	0.992708	1.59	1.99	-0.4	"Yes"	0.253521	0	0.14	0	5.62040086571715
"CH"	268	7	0	2.13	0	0	0	0	0.68	2.13	1.86	0.27	"Yes"	0	0	0.27	0	5.59098698051086
"CH"	278	7	1	2.13	0	0	0	0	0.744	2.13	2.06	0.07	"Yes"	0	0	0.07	0	5.62762111369064
"CH"	278	7	1	2.13	0	0	0	0	0.7952	2.13	2.06	0.07	"Yes"	0	0	0.07	0	5.62762111369064
"MM"	240	1	0	1.99	0	0.3	0	1	0.5	1.69	1.75	-0.06	"No"	0.150754	0	0.24	1	5.48063892334199
"MM"	268	2	0	2.18	0	0	0	1	0.4	2.18	1.86	0.32	"No"	0	0	0.32	2	5.59098698051086
"MM"	269	2	0	2.18	0	0	0	0	0.32	2.18	1.86	0.32	"No"	0	0	0.32	2	5.59471137960184
"CH"	254	7	0	2.18	0	0	0	0	0.5	2.18	1.86	0.32	"Yes"	0	0	0.32	0	5.53733426701854
"CH"	257	7	0	2.18	0	0	0	0	0.6	2.18	1.86	0.32	"Yes"	0	0	0.32	0	5.54907608489522
"CH"	258	1	0	2.18	0	0	0	0	0.68	2.18	1.76	0.42	"No"	0	0	0.42	1	5.55295958492162
"CH"	259	7	0	2.18	0	0	0	0	0.744	2.18	1.86	0.32	"Yes"	0	0	0.32	0	5.55682806169954
"CH"	264	7	0	2.13	0.37	0	1	0	0.7952	2.13	1.49	0.64	"Yes"	0	0.198925	0.27	0	5.57594910314632
"CH"	268	7	0	2.13	0	0	0	0	0.83616	2.13	1.86	0.27	"Yes"	0	0	0.27	0	5.59098698051086
"CH"	269	7	0	2.13	0.27	0	1	0	0.868928	2.13	1.59	0.54	"Yes"	0	0.145161	0.27	0	5.59471137960184
"CH"	271	7	0	2.13	0	0	0	0	0.895142	2.13	1.86	0.27	"Yes"	0	0	0.27	0	5.6021188208797
"CH"	272	7	0	2.13	0	0	0	0	0.916114	2.13	1.86	0.27	"Yes"	0	0	0.27	0	5.605802066296
"CH"	274	7	0	2.13	0.47	0.54	1	0	0.932891	1.59	1.39	0.2	"Yes"	0.253521	0.252688	0.27	0	5.61312810638807
"CH"	278	7	1	2.13	0	0	0	0	0.946313	2.13	2.06	0.07	"Yes"	0	0	0.07	0	5.62762111369064
"CH"	246	2	1	2.09	0	0	0	0	0.5	2.09	1.89	0.2	"No"	0	0	0.2	2	5.50533153593236
"CH"	265	7	0	2.13	0.37	0	1	0	0.6	2.13	1.49	0.64	"Yes"	0	0.198925	0.27	0	5.57972982598622
"MM"	275	2	1	2.18	0	0.8	0	1	0.68	1.38	1.96	-0.58	"No"	0.366972	0	0.22	2	5.61677109766657
"MM"	232	2	0	1.69	0	0	1	0	0.68	1.69	1.69	0	"No"	0	0	0	2	5.44673737166631
"CH"	251	3	1	2.23	0	0	0	0	0.544	2.23	1.99	0.24	"No"	0	0	0.24	3	5.52545293913178
"CH"	256	3	1	2.29	0	0	0	0	0.6352	2.29	1.99	0.3	"No"	0	0	0.3	3	5.54517744447956
"CH"	258	1	0	2.18	0	0	0	0	0.70816	2.18	1.76	0.42	"No"	0	0	0.42	1	5.55295958492162
"CH"	277	1	1	2.13	0.24	0	0	0	0.7952	2.13	1.75	0.38	"No"	0	0.120603	0.14	1	5.62401750618734
"CH"	271	4	1	2.09	0.1	0.4	1	0	0.4	1.69	1.89	-0.2	"No"	0.191388	0.050251	0.1	4	5.6021188208797
"CH"	227	4	0	1.79	0	0	0	1	0.920961	1.79	1.79	0	"No"	0	0	0	4	5.4249500174814
"CH"	229	4	0	1.79	0	0	0	0	0.936769	1.79	1.79	0	"No"	0	0	0	4	5.43372200355424
"CH"	230	4	0	1.79	0	0	0	0	0.949415	1.79	1.79	0	"No"	0	0	0	4	5.4380793089232
"CH"	233	4	0	2.09	0	0	0	0	0.959532	2.09	1.79	0.3	"No"	0	0	0.3	4	5.4510384535657
"CH"	236	4	0	2.09	0	0	0	0	0.967626	2.09	1.79	0.3	"No"	0	0	0.3	4	5.46383180502561
"MM"	237	4	0	2.09	0	0	0	0	0.9741	2.09	1.79	0.3	"No"	0	0	0.3	4	5.46806014113513
"CH"	240	4	0	2.23	0	0	0	0	0.77928	2.23	1.79	0.44	"No"	0	0	0.44	4	5.48063892334199
"CH"	244	4	1	2.23	0	0	0	0	0.823424	2.23	1.99	0.24	"No"	0	0	0.24	4	5.4971682252932
"CH"	245	4	1	2.23	0	0	0	0	0.858739	2.23	1.99	0.24	"No"	0	0	0.24	4	5.50125821054473
"CH"	246	4	1	2.23	0	0	0	0	0.886992	2.23	1.99	0.24	"No"	0	0	0.24	4	5.50533153593236
"CH"	247	4	1	2.23	0	0	0	0	0.909593	2.23	1.99	0.24	"No"	0	0	0.24	4	5.50938833662798
"MM"	248	4	1	2.23	0	0	0	0	0.927675	2.23	1.99	0.24	"No"	0	0	0.24	4	5.51342874616498
"CH"	249	4	1	2.23	0	0	0	0	0.74214	2.23	1.99	0.24	"No"	0	0	0.24	4	5.51745289646471
"CH"	252	4	1	2.23	0	0	0	0	0.793712	2.23	1.99	0.24	"No"	0	0	0.24	4	5.52942908751142
"MM"	254	4	1	2.29	0	0	1	0	0.834969	2.29	1.99	0.3	"No"	0	0	0.3	4	5.53733426701854
"CH"	256	4	1	2.29	0	0	0	0	0.667976	2.29	1.99	0.3	"No"	0	0	0.3	4	5.54517744447956
"CH"	256	4	1	2.29	0	0	0	0	0.73438	2.29	1.99	0.3	"No"	0	0	0.3	4	5.54517744447956
"CH"	257	4	1	2.29	0	0.4	0	1	0.787504	1.89	1.99	-0.1	"No"	0.174672	0	0.3	4	5.54907608489522
"CH"	258	4	1	2.29	0	0	0	0	0.830003	2.29	1.99	0.3	"No"	0	0	0.3	4	5.55295958492162
"CH"	258	7	0	2.18	0	0	0	0	0.864003	2.18	1.86	0.32	"Yes"	0	0	0.32	0	5.55295958492162
"CH"	259	4	1	2.29	0	0	0	0	0.891202	2.29	1.99	0.3	"No"	0	0	0.3	4	5.55682806169954
"CH"	260	4	1	2.09	0	0	0	0	0.912962	2.09	1.99	0.1	"No"	0	0	0.1	4	5.56068163101553
"CH"	263	4	1	2.09	0	0	0	0	0.930369	2.09	1.99	0.1	"No"	0	0	0.1	4	5.57215403217776
"MM"	265	4	1	2.09	0.1	0	0	0	0.944296	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.57972982598622
"CH"	265	4	1	2.09	0.1	0	0	0	0.755436	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.57972982598622
"CH"	266	4	1	2.09	0.1	0	0	0	0.804349	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.5834963087817
"CH"	267	4	1	2.09	0.1	0	0	0	0.843479	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.58724865840025
"MM"	269	4	1	2.09	0.1	0	0	0	0.874783	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.59471137960184
"MM"	270	4	1	2.09	0.1	0	0	0	0.699827	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.59842195899838
"CH"	272	4	1	2.09	0	0.4	0	0	0.559861	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.605802066296
"CH"	272	4	1	2.09	0	0.4	0	0	0.647889	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.605802066296
"CH"	274	4	1	2.09	0	0.4	0	0	0.718311	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.61312810638807
"CH"	275	4	1	2.09	0	0.4	0	0	0.774649	1.69	2.09	-0.4	"No"	0.191388	0	0	4	5.61677109766657
"CH"	276	4	1	2.09	0.2	0.4	0	0	0.819719	1.69	1.89	-0.2	"No"	0.191388	0.095694	0	4	5.62040086571715
"CH"	278	4	1	2.09	0.2	0	0	0	0.855775	2.09	1.89	0.2	"No"	0	0.095694	0	4	5.62762111369064
"CH"	230	7	0	1.99	0	0	0	1	0.68	1.99	1.69	0.3	"Yes"	0	0	0.3	0	5.4380793089232
"CH"	238	4	0	2.09	0	0	0	0	0.744	2.09	1.79	0.3	"No"	0	0	0.3	4	5.47227067367148
"CH"	239	4	0	2.23	0	0	0	0	0.7952	2.23	1.79	0.44	"No"	0	0	0.44	4	5.47646355193151
"CH"	251	4	1	2.23	0	0	0	0	0.83616	2.23	1.99	0.24	"No"	0	0	0.24	4	5.52545293913178
"CH"	252	2	1	2.09	0.13	0	0	0	0.868928	2.09	1.76	0.33	"No"	0	0.068783	0.2	2	5.52942908751142
"CH"	255	4	1	2.29	0	0	0	0	0.895142	2.29	1.99	0.3	"No"	0	0	0.3	4	5.54126354515843
"CH"	263	4	1	2.09	0	0	0	0	0.916114	2.09	1.99	0.1	"No"	0	0	0.1	4	5.57215403217776
"CH"	264	4	1	2.09	0.1	0	0	0	0.932891	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.57594910314632
"CH"	269	4	1	2.09	0.1	0	0	0	0.946313	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.59471137960184
"CH"	273	4	1	2.09	0	0.4	0	0	0.95705	1.69	1.99	-0.3	"No"	0.191388	0	0.1	4	5.60947179518496
"CH"	275	4	1	2.09	0	0.4	0	0	0.96564	1.69	2.09	-0.4	"No"	0.191388	0	0	4	5.61677109766657
"CH"	276	2	1	2.18	0	0	0	1	0.972512	2.18	1.99	0.19	"No"	0	0	0.19	2	5.62040086571715
"CH"	277	4	1	2.09	0.2	0.4	0	0	0.97801	1.69	1.89	-0.2	"No"	0.191388	0.095694	0	4	5.62401750618734
"CH"	252	4	1	2.23	0	0	0	0	0.68	2.23	1.99	0.24	"No"	0	0	0.24	4	5.52942908751142
"CH"	275	4	1	2.09	0	0.4	0	0	0.744	1.69	2.09	-0.4	"No"	0.191388	0	0	4	5.61677109766657
"CH"	277	3	1	2.09	0.2	0.4	0	0	0.7952	1.69	1.89	-0.2	"No"	0.191388	0.095694	0	3	5.62401750618734
"CH"	237	4	0	2.09	0	0	0	0	0.5	2.09	1.79	0.3	"No"	0	0	0.3	4	5.46806014113513
"CH"	269	4	1	2.09	0.1	0	0	0	0.6	2.09	1.89	0.2	"No"	0	0.050251	0.1	4	5.59471137960184
"CH"	242	4	1	2.23	0	0	0	0	0.5	2.23	1.99	0.24	"No"	0	0	0.24	4	5.48893772615669
"CH"	244	7	0	2.09	0	0.2	0	0	0.6	1.89	1.86	0.03	"Yes"	0.095694	0	0.23	0	5.4971682252932
"CH"	241	2	0	1.99	0	0.3	0	1	0.5	1.69	1.75	-0.06	"No"	0.150754	0	0.24	2	5.48479693349065
"CH"	277	2	1	2.18	0	0	0	0	0.6	2.18	1.99	0.19	"No"	0	0	0.19	2	5.62401750618734
"CH"	277	7	1	2.13	0.5	0	0	1	0.4	2.13	1.49	0.64	"Yes"	0	0.251256	0.14	0	5.62401750618734
"CH"	227	2	0	1.69	0	0	0	0	0.744	1.69	1.69	0	"No"	0	0	0	2	5.4249500174814
"CH"	229	2	0	1.69	0	0	0	0	0.7952	1.69	1.69	0	"No"	0	0	0	2	5.43372200355424
"CH"	234	2	0	1.99	0	0	0	0	0.83616	1.99	1.69	0.3	"No"	0	0	0.3	2	5.4553211153577
"CH"	236	2	0	1.99	0	0	0	0	0.868928	1.99	1.75	0.24	"No"	0	0	0.24	2	5.46383180502561
"CH"	237	2	0	1.99	0	0	0	0	0.895142	1.99	1.75	0.24	"No"	0	0	0.24	2	5.46806014113513
"CH"	240	2	0	1.99	0	0.3	0	1	0.916114	1.69	1.75	-0.06	"No"	0.150754	0	0.24	2	5.48063892334199
"MM"	241	2	0	1.99	0	0.3	0	1	0.932891	1.69	1.75	-0.06	"No"	0.150754	0	0.24	2	5.48479693349065
"CH"	243	2	0	2.09	0	0	0	1	0.746313	2.09	1.86	0.23	"No"	0	0	0.23	2	5.49306144334055
"CH"	245	2	1	2.09	0	0	0	0	0.79705	2.09	1.89	0.2	"No"	0	0	0.2	2	5.50125821054473
"CH"	245	1	0	2.09	0.17	0	0	0	0.83764	2.09	1.69	0.4	"No"	0	0.091398	0.23	1	5.50125821054473
"CH"	248	2	1	2.09	0	0	0	0	0.870112	2.09	1.89	0.2	"No"	0	0	0.2	2	5.51342874616498
"CH"	248	2	1	2.09	0	0	0	0	0.89609	2.09	1.89	0.2	"No"	0	0	0.2	2	5.51342874616498
"CH"	249	2	1	2.09	0	0	0	0	0.916872	2.09	1.89	0.2	"No"	0	0	0.2	2	5.51745289646471
"CH"	249	1	0	2.09	0	0	0	0	0.933497	2.09	1.86	0.23	"No"	0	0	0.23	1	5.51745289646471
"MM"	251	3	1	2.23	0	0	0	0	0.946798	2.23	1.99	0.24	"No"	0	0	0.24	3	5.52545293913178
"CH"	253	2	1	2.09	0.13	0	0	0	0.757438	2.09	1.76	0.33	"No"	0	0.068783	0.2	2	5.53338948872752
"CH"	254	2	1	2.09	0.13	0	0	0	0.805951	2.09	1.76	0.33	"No"	0	0.068783	0.2	2	5.53733426701854
"CH"	255	2	1	2.18	0.13	0	0	0	0.844761	2.18	1.76	0.42	"No"	0	0.068783	0.29	2	5.54126354515843
"CH"	257	3	1	2.29	0	0.4	0	1	0.875808	1.89	1.99	-0.1	"No"	0.174672	0	0.3	3	5.54907608489522
"CH"	257	2	0	2.18	0	0	0	0	0.900647	2.18	1.86	0.32	"No"	0	0	0.32	2	5.54907608489522
"CH"	258	2	0	2.18	0	0	0	0	0.920517	2.18	1.86	0.32	"No"	0	0	0.32	2	5.55295958492162
"CH"	259	3	1	2.29	0	0	0	0	0.936414	2.29	1.99	0.3	"No"	0	0	0.3	3	5.55682806169954
"CH"	259	2	0	2.18	0	0.4	0	1	0.949131	1.78	1.86	-0.08	"No"	0.183486	0	0.32	2	5.55682806169954
"CH"	260	2	0	2.18	0	0.7	0	0	0.959305	1.48	1.86	-0.38	"No"	0.321101	0	0.32	2	5.56068163101553
"CH"	261	1	0	1.99	0	0	0	0	0.967444	1.99	1.76	0.23	"No"	0	0	0.23	1	5.56452040732269
"CH"	261	2	0	2.18	0	0	0	0	0.973955	2.18	1.86	0.32	"No"	0	0	0.32	2	5.56452040732269
"CH"	263	2	0	2.18	0	0	0	1	0.979164	2.18	1.86	0.32	"No"	0	0	0.32	2	5.57215403217776
"MM"	264	2	0	2.18	0	0	0	0	0.983331	2.18	1.86	0.32	"No"	0	0	0.32	2	5.57594910314632
"CH"	265	2	0	2.18	0	0	0	0	0.786665	2.18	1.86	0.32	"No"	0	0	0.32	2	5.57972982598622
"CH"	266	1	0	1.99	0	0.1	0	0	0.829332	1.89	1.86	0.03	"No"	0.050251	0	0.13	1	5.5834963087817
"CH"	266	2	0	2.18	0	0	0	0	0.863466	2.18	1.86	0.32	"No"	0	0	0.32	2	5.5834963087817
"CH"	267	2	0	2.18	0	0.4	0	1	0.890772	1.78	1.86	-0.08	"No"	0.183486	0	0.32	2	5.58724865840025
"CH"	270	2	0	2.18	0	0	0	0	0.912618	2.18	1.86	0.32	"No"	0	0	0.32	2	5.59842195899838
